"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","31824","","","","0"
"2020-05","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","71759","","","","0"
"2020-06","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","97212","","","","0"
"2020-07","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","102086","","","","0"
"2020-08","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","107051","","","","0"
"2020-09","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","112270","","","","0"
"2020-10","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","100071","","","","0"
"2020-11","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","81037","","","","0"
"2020-12","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","70140","","","","0"
"2021-01","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","59397","","","","0"
"2021-02","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","74454","","","","0"
"2021-03","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","112059","","","","0"
"2021-04","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","99510","","","","0"
"2021-05","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","91241","","","","0"
"2021-06","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","96950","","","","0"
"2021-07","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","90223","","","","0"
"2021-08","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","88860","","","","0"
"2021-09","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","83906","","","","0"
"2021-10","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","79078","","","","0"
"2021-11","Canada","2021A000011124","Trucks","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815524","1.3.1.2.1.1","76277","","","","0"
